State,Year,Residence_Type,NFHS_Version,Women_With_Bank_Account_Perc,Women_With_Mobile_Phone_Perc,Women_Literacy_Perc,Men_Literacy_Perc,Child_Full_Vaccination_Perc,Child_Stunting_Perc,Child_Anaemia_Perc,Women_Anaemia_Perc,Institutional_Births_Perc,Clean_Fuel_Usage_Perc,Improved_Sanitation_Perc,Health_Insurance_Coverage_Perc,Infant_Mortality_Rate,Spousal_Violence_Perc
Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,89.8,80.9,85.6,94.7,84.8,26.4,33.3,57.6,98.7,71.0,88.0,1.6,8.4,13.2
Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,88.5,80.8,86.6,89.3,72.1,18.2,47.8,57.2,99.2,95.6,88.0,1.4,,23.2
Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,79.6,40.9,63.8,76.3,74.7,34.2,65.0,59.3,95.7,77.9,72.1,73.7,30.4,30.5
Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,86.7,67.4,79.0,86.4,69.3,23.1,58.7,57.8,98.6,96.6,89.1,62.2,29.8,28.8
Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,76.7,75.3,69.0,84.5,64.6,27.9,57.1,41.0,77.3,46.3,83.4,28.5,12.3,26.0
Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,86.0,81.9,82.9,91.4,66.8,28.4,52.8,36.5,90.6,90.2,79.9,33.6,16.7,18.5
Assam,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,77.9,53.9,75.4,82.8,66.9,36.0,68.6,66.0,82.9,33.7,68.4,61.9,33.1,32.9
Assam,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,81.9,75.4,87.5,92.6,63.2,29.8,66.4,65.2,93.5,85.5,69.7,50.1,22.7,26.6
Bihar,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,76.2,49.3,54.5,77.0,71.6,43.9,69.7,63.1,75.0,30.3,45.7,15.1,47.3,39.9
Bihar,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,79.1,61.8,74.9,84.0,66.7,36.8,67.9,65.6,84.1,78.6,69.2,11.6,43.1,40.6
Chandigarh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,,,-57.7,,,,,-64.0,,,47.6,,,
Chandigarh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,87.1,70.0,78.9,90.2,-81.7,25.2,55.0,60.3,97.0,95.8,85.4,32.3,,9.7
